stage,status,started_at,finished_at,exit_code,command,summary_paths
ingest,success,2026-04-18T13:00:02.693730,2026-04-18T13:03:28.129143,0,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe ingest_upcoming_events_sources.py,incoming/upcoming_events_ingest_summary.json
schedule,success,2026-04-18T13:03:28.131141,2026-04-18T13:03:28.170863,0,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe build_upcoming_schedule_auto.py --source C:/ai_risa_data/incoming/upcoming_events.json --schedule-out C:/ai_risa_data/schedules/upcoming_auto.json --events-dir C:/ai_risa_data/events --summary-json C:/ai_risa_data/output/upcoming_auto_summary.json --summary-csv C:/ai_risa_data/output/upcoming_auto_summary.csv --formats md docx pdf,C:/ai_risa_data/output/upcoming_auto_summary.json;C:/ai_risa_data/output/upcoming_auto_summary.csv;C:/ai_risa_data/schedules/upcoming_auto.json
resolver,warning,2026-04-18T13:03:28.173583,2026-04-18T13:03:28.244476,1,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe resolve_missing_dependencies_auto.py,output/dependency_resolution_summary.json
queue_build,success,2026-04-18T13:03:28.246331,2026-04-18T13:03:28.302865,0,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe build_prediction_queue_auto.py,output/prediction_queue.json;output/prediction_queue_build_summary.json
queue_run,success,2026-04-18T13:03:28.305212,2026-04-18T13:03:28.360423,0,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe run_prediction_queue_auto.py,output/prediction_queue_run_summary.json
batch,success,2026-04-18T13:03:28.362987,2026-04-18T13:03:28.432038,0,C:\Users\jusin\AppData\Local\Python\pythoncore-3.14-64\python.exe run_event_batch_auto.py --schedule C:/ai_risa_data/schedules/upcoming_auto.json --formats md docx pdf,output/event_batch_run_summary.json
