prediction_id_recon,prediction_family_id,matchup_id,predicted_winner_id_recon,actual_winner_id,winner_correct,predicted_method,actual_method,method_correct,predicted_round,actual_round,round_error,confidence,simulation_count,model_version,calibration_version,reconciled_timestamp,norm_fighter_key_recon,source_file,schema_version,prediction_id_hist,event,event_date,fighter_a_id,fighter_b_id,predicted_winner_id_hist,method,round,norm_fighter_key_hist,_merge,match_type,matchup_id_recon,source_file_recon,schema_version_recon,event_recon,event_date_recon,fighter_a_id_recon,fighter_b_id_recon,method_recon,round_recon,norm_fighter_key,source_file_hist,schema_version_hist,prediction_id,matchup_id_hist,event_hist,event_date_hist,fighter_a_id_hist,fighter_b_id_hist,predicted_winner_id,method_hist,round_hist,event_fighter_key
pred_mckinney_nelson_amplified,,mckinney_nelson_amplified,fighter_kyle_nelson,fighter_kyle_nelson,True,Decision,Decision,True,full,full,0.0,,5,ai_risa_model_v1.0,calibration_v1.0.0,2026-03-29T15:35:48.113244Z,::,C:/Users/jusin/pred_mckinney_nelson_amplified.json,prediction_record_v1,pred_mckinney_nelson_amplified,,,fighter_terrance_mckinney,fighter_kyle_nelson,fighter_kyle_nelson,Decision,full,fighter_kyle_nelson::fighter_terrance_mckinney,both,matchup_id,,,,,,,,,,,,,,,,,,,,,,
pred_jenkins_braga_amplified,,jenkins_braga_amplified,fighter_bubba_jenkins,fighter_gabriel_braga,False,Decision,Decision,True,full,full,0.0,,5,ai_risa_model_v1.0,calibration_v1.0.0,2026-03-29T15:35:48.113249Z,::,C:/Users/jusin/pred_jenkins_braga_amplified.json,prediction_record_v1,pred_jenkins_braga_amplified,,,fighter_bubba_jenkins,fighter_gabriel_braga,fighter_bubba_jenkins,Decision,full,fighter_bubba_jenkins::fighter_gabriel_braga,both,matchup_id,,,,,,,,,,,,,,,,,,,,,,
pred_fighter_israel_adesanya_vs_fighter_joe_pyfer,,fighter_israel_adesanya_vs_fighter_joe_pyfer,fighter_joe_pyfer,fighter_joe_pyfer,True,Decision,KO/TKO,False,full,2,,,5,ai_risa_model_v1.0,calibration_v1.0.0,2026-03-29T15:35:48.113254Z,::,C:/ai_risa_data/predictions/fighter_israel_adesanya_vs_fighter_joe_pyfer_premium.json,prediction_record_v1,pred_fighter_israel_adesanya_vs_fighter_joe_pyfer_46f6bb97d61c,,,fighter_israel_adesanya,fighter_joe_pyfer,fighter_joe_pyfer,Decision,full,fighter_israel_adesanya::fighter_joe_pyfer,both,matchup_id,,,,,,,,,,,,,,,,,,,,,,
pred_fighter_israel_adesanya_vs_fighter_joe_pyfer,,fighter_israel_adesanya_vs_fighter_joe_pyfer,fighter_joe_pyfer,fighter_joe_pyfer,True,Decision,KO/TKO,False,full,2,,,5,ai_risa_model_v1.0,calibration_v1.0.0,2026-03-29T15:35:48.113254Z,::,C:/Users/jusin/pred_fighter_israel_adesanya_vs_fighter_joe_pyfer.json,prediction_record_v1,pred_fighter_israel_adesanya_vs_fighter_joe_pyfer,,,fighter_israel_adesanya,fighter_joe_pyfer,fighter_joe_pyfer,Decision,full,fighter_israel_adesanya::fighter_joe_pyfer,both,matchup_id,,,,,,,,,,,,,,,,,,,,,,
